FS-D
GEGK2Q2Krü22
DLK1Q2Kel22
EKABGK1Q2Kai22
F508RF22
F708Tsc22
FS-Pl
06CS22
R8GK8EFGBG222
KR05Hüb22
SPGK4EFMat22
MGK2Q1Ben22
MLK2Q2GG22
L707Tel22
PLGK2Q2Sal22
SWGK1Q1Zak22
MGK2EFFah22
SPGK2Q1Kör22
FS-E
KUGK3Q1GGQ1.22
09BL22
GELK1Q2GG22
GEGK1Q1Krü22
I0GK0EFAlb22
FS-I
CHGK2Q2GG22
FS-Mu
MLK1Q1Wag22
KUGK3EFScr22
GELK2Q1GGQ1.22
DGK4EFSaw22
SWQ2Kru22
08CS22
DGK3Q2Ese22
NW05Zwi22
ELK3Q2GG22
EKABGK1Q1Tsc22
08AL22
GEGK2EFScn22
05DS22
06AS22
SPGK1Q1Ber22
EKABGK1EFRF22
S8GK8EFAue22
Sek2-S
PLGK3EFGGEF122
PHGK1Q1Ben22
PP09Tro22
CHGK3EFGGEF122
ELK2Q2Ova22
KUGK1Q2Vog22
PP07Ats22
KR07Rin22
FS-Ch
PLGK3Q2GG22
BIGK3EFZwi22
PKEQ1Pas22
CHGK2EFPüt22
SWGK2Q1Saw22
BIGK1Q2Hör22
EKLK2Q2GG22
KRGK1Q2Hüb22
06CL22
EKGK1EFHör22
CHGK1Q1Blö22
F709Sch22
MGK4EFScf22
05DL22
08CL22
F708Rut22
EGK4EFAue22
SWGK1Q2Zak22
CHGK1Q2Blö22
GEQ2Sued22
KUGK2Q2Wed22
S809Tel22
09CS22
FLK1Q2Lüt22
SPGK3EFZwi22
PP08Wos22
MINT06Hör22
MUGK1Q1Ber22
FS-Ph
F506RF22
ELK3Q1Bat22
ELK2Q1Zul22
GELK1Q1Sued22
VDEFOvh22
IFLK1Q1-22
IFGK2EFSei22
PHGK2EFGGEF122
LGK1EFTel22
MGK3Q1Hai22
ER05Alb22
BILK1Q2GG22
CHGK1EFPüt22
ELK1Q2vBr22
T8GK8Q1GGQ1.22
DGK3Q1Zak22
EGK2Q2Zul22
U06Rin22
BIGK2Q1Hör22
DGK2EFEse22
GEABGK1Q2Mül22
ERGK1EFWed22
EKLK1Q2Kar22
PLGK2Q1Ats22
EGK1Q2Pas22
PP06Ats22
NW05Hör22
FS-Ku
BIGK2Q2Eng22
GEGK1Q2Lüt22
PP06Wos22
L709Sal22
PLGK1EFSei22
EFL22
PKJfQ1Blö22
E507Mat22
KUGK3Q2GG22
BIGK1EFBlö22
SPGK1EFBer22
PLGK1Q2Tro22
PP05Wos22
FGK1Q2Lüt22
05CL22
KUGK2EFBee22
FS-Abi-Bac
FS-Ek
SPGK2Q2Kar22
GEGK2Q1Krü22
BI809Hör22
VFEFSzr22
T8GK8Q2GG22
FS-Sp
CHGK2Q1Püt22
F509Szr22
PP05Ats22
06BL22
BIGK3Q2Dan22
F9G09Kai22
MINT06VBr22
DGK1EFPas22
KUGK1EFWed22
PP09Sal22
05BL22
SPGK2EFKar22
T8GK8EFGGEF122
FS-eR
06AL22
EKGK1Q2Hör22
K0GK0Q2CCG22
L708Tel22
M-VT-L
IFGK1EFLie22
E507Aue22
SWGK3EFPüt22
DGK2Q1Scr22
HRGK1Q2LEG22
KRGK1EFHüb22
09AS22
DGK1Q1Tro22
E506Scn22
NW05Bee22
ER06Bat22
EGK1EFWos22
E506Aue22
PLGK2EFWes22
PP08Ats22
KUGK2Q1Wed22
KR09Rin22
PP07Tro22
DLK2Q2GG22
CHLK1Q1GGQ1.22
F707Rut22
07CL22
SWGK2Q2GG22
07CS22
FS-F
BIGK2EFBee22
EGK2EFPon22
FABGK1EFSzr22
07AL22
FS-SW
05AL22
05BS22
Q2S22
PHGK1EFLie22
FS-MINT
VMEFHai22
ER07Alb22
WKS22
AlleS
FS-NW
GEABGK1EFLüt22
05CS22
FGK1EFKai22
FS-kR
SWGK1EFSaw22
GEGK3EFMül22
PHLK1Q2GSG22
09BS22
MGK1EFLie22
DGK3EFKrü22
Q1L22
SPGK3Q1Zwi22
FABLK1Q2Lüt22
SWGK2EFKru22
EGK3EFRut22
I0GK0Q1Ova22
EKGK3EFSze22
EFS22
DGK2Q2Tro22
LGK1Q1GGQ1.22
PLGK1Q1Ese22
KUGK1Q1Scr22
I0GK0EFRGr22
05AS22
PLGK3Q1Sal22
FS-Inf
FS-UN
MINT06Bee22
ER09Wed22
E508Ova22
EKGK2EFKar22
ER08Wed22
EKLK2Q1GGQ1.22
MGK3Q2CS22
MLK2Q1GGQ1.22
KR06Rin22
PHGK2Q1GGQ1.22
IFGK1Q1Lie22
07BL22
ELK1Q1Sze22
F507RF22
EKGK1Q1Sze22
WKL22
MGK2Q2Ben22
FABLK1Q1RF22
Sek2-L
U05Ats22
IF909Bat22
S8GK8Q1GSG122
FS-Bio
FGK1Q1GGQ1.22
06BS22
08AS22
IFLK1Q2GAP22
Q1S22
FS-G
MGK1Q1Wal22
BILK1Q1Dan22
BIGK1Q1Eng22
08BS22
SPGK1Q2Jön22
EGK1Q1Scf22
I0GK0Q2Vog22
KRGK1Q1Rin22
K0GK0EFCCG122
SWQ2GGQ2.22
EGK2Q1Aue22
MLK1Q2Rin22
F707Kai22
MUGK1Q2Ovh22
EKLK1Q1Pat22
KULK1Q2Scr22
09CL22
IFGK1Q2CS22
07BS22
09AL22
KR08Rin22
07AS22
DLK2Q1GGQ1.22
08BL22
DLK1Q1Ese22
PHLK1Q1GSG122
PHGK1Q2Dan22
Q2L22
SPGK3Q2Ber22
AlleL
K0GK0Q1CCG122
SWQ2Zak22
VMEFWag22
FS-M
KULK1Q1GGQ1.22
VM_EEF-22
VEEFPon22
DGK1Q2Tro22
GEGK1EFRKi22
PP05Ese22
E508Sze22
MGK1Q2Lie22
MGK3EFHai22
FS-L
MUGK1EFGol22
ERGK1Q2GG22
F709Lüt22
MINT06Zwi22
GEABGK1Q1Kai22
